px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
8.39058	0.240607	-3.3559	0.015728	0	8.46292	0.243462	8.6	0.25	-3.00029	0	0.382261
8.41771	0.248713	-3.32699	0.00765153	-0.000160805	8.44818	0.251553	8.45	0.25	-3.00027	0	0.218793
8.44431	0.247293	-2.86506	0.00489826	-0.000875733	8.56759	0.241943	8.45	0.25	0	0	1.41846
8.40602	0.251596	-2.78952	-0.00588395	-0.00130934	8.45582	0.253997	8.45	0.25	0	0	0.234248
8.32207	0.254392	-2.52898	-0.0142577	-0.00283852	8.42544	0.254042	8.35	0.25	-1.81979	0	0.273928
8.21766	0.251587	-2.51027	-0.00108881	-0.00125222	8.23962	0.24916	8.25	0.25	-1.81978	0	0.0366489
7.99451	0.228883	-3.517	0.0540667	0.0225962	7.93286	0.188391	8.05	0.2	-3.99976	-0.99994	6.7257
7.83316	0.183961	-3.5091	0.11665	0.0432105	7.84073	0.159858	7.85	0.15	-3.99972	-0.99993	0.0686949
7.66839	0.155898	-3.4401	0.135406	0.0600829	7.61269	0.155818	7.7	0.15	-2.99982	0	0.126251
7.51138	0.146428	-3.42632	0.1209	0.0474645	7.54016	0.159641	7.55	0.15	-2.99982	0	0.063995
7.41702	0.0880538	-2.70143	0.202825	0.210832	7.50815	0.0953827	7.45	0.100001	-1.8165	-0.908239	10.4527
7.28929	0.046048	-2.68607	0.229496	0.230806	7.3426	0.0345312	7.35	0.0500011	-1.81648	-0.90823	0.173314
7.13739	0.0172446	-2.80242	0.222613	0.177973	7.20598	0.00492725	7.2	9.49949e-07	-2.72851	-0.909507	0.365174
7.00305	-0.0329892	-2.7932	0.253254	0.211931	7.05406	-0.0533413	7.05	-0.0499992	-2.72849	-0.909499	0.177199
6.90659	-0.116883	-2.36872	0.378284	0.475434	6.74585	-0.143185	6.95	-0.15	-1.81898	-1.81898	4.98366
6.80065	-0.203329	-2.38294	0.45535	0.544508	6.84972	-0.258748	6.85	-0.25	-1.81896	-1.81897	0.359982
6.69406	-0.276619	-2.41539	0.506577	0.568189	6.66966	-0.346668	6.75	-0.349999	-2.00076	-2.00075	0.168005
6.6006	-0.381688	-2.46101	0.595523	0.664036	6.64329	-0.462604	6.65	-0.449999	-2.00076	-2.00075	0.550705
6.56056	-0.534232	-2.20891	0.836723	1.00854	6.60862	-0.557035	6.6	-0.549999	-0.998836	-1.99769	5.54183
6.50224	-0.628503	-2.21181	0.90402	0.891779	6.56029	-0.650892	6.55	-0.65	-0.99884	-1.99769	0.213164
6.46271	-0.798717	-2.18339	1.10431	1.01247	6.40696	-0.842921	6.5	-0.85	-0.908747	-3.63498	2.82961
